epsilon,m,p_formula,p_numeric,p_block_diag,abs_error
0.0,0.0,0.5,0.5,0.5,0.0
0.0025,0.0025,0.5499374608885954,0.5499374608885954,0.5,0.0
0.005,0.005,0.5705336798983294,0.5705336798983294,0.5,0.0
0.0075,0.0075,0.586277169633687,0.586277169633687,0.5,0.0
0.01,0.01,0.599498743710662,0.599498743710662,0.5,0.0
0.0125,0.0125,0.6111024302164448,0.6111024302164448,0.5,0.0
0.015,0.015,0.6215524578114322,0.6215524578114322,0.5,0.0
0.0175,0.0175,0.6311249404194336,0.6311249404194336,0.5,0.0
0.02,0.02,0.64,0.64,0.5,0.0
0.0225,0.0225,0.6483028994996389,0.6483028994996389,0.5,0.0
0.025,0.025,0.65612494995996,0.65612494995996,0.5,0.0
0.0275,0.0275,0.6635351644142629,0.6635351644142629,0.5,0.0
0.03,0.03,0.6705872210923198,0.6705872210923198,0.5,0.0
0.0325,0.0325,0.6773238562630534,0.6773238562630534,0.5,0.0
0.035,0.035,0.6837797594948911,0.6837797594948911,0.5,0.0
0.0375,0.0375,0.6899835519196333,0.6899835519196333,0.5,0.0
0.04,0.04,0.6959591794226543,0.6959591794226543,0.5,0.0
0.0425,0.0425,0.7017269193736919,0.7017269193736919,0.5,0.0
0.045,0.045,0.7073041244162788,0.7073041244162789,0.5,1.1102230246251565e-16
0.0475,0.0475,0.7127057827140579,0.7127057827140579,0.5,0.0
0.05,0.05,0.7179449471770336,0.7179449471770336,0.5,0.0
0.0525,0.0525,0.7230330692969094,0.7230330692969095,0.5,1.1102230246251565e-16
0.055,0.055,0.7279802623035599,0.72798026230356,0.5,1.1102230246251565e-16
0.0575,0.0575,0.7327955111251074,0.7327955111251075,0.5,1.1102230246251565e-16
0.06,0.06,0.7374868417407583,0.7374868417407583,0.5,0.0
0.0625,0.0625,0.7420614591379635,0.7420614591379635,0.5,0.0
0.065,0.065,0.746525860712421,0.7465258607124211,0.5,1.1102230246251565e-16
0.0675,0.0675,0.750885930255166,0.750885930255166,0.5,0.0
0.07,0.07,0.7551470164434615,0.7551470164434615,0.5,0.0
0.0725,0.0725,0.7593139988508141,0.7593139988508141,0.5,0.0
0.075,0.075,0.7633913438213185,0.7633913438213185,0.5,0.0
0.0775,0.0775,0.7673831520496384,0.7673831520496384,0.5,0.0
0.08,0.08,0.7712931993250107,0.7712931993250107,0.5,0.0
0.0825,0.0825,0.775124971603815,0.775124971603815,0.5,0.0
0.085,0.085,0.7788816953476868,0.7788816953476869,0.5,1.1102230246251565e-16
0.08750000000000001,0.08750000000000001,0.7825663638864329,0.7825663638864329,0.5,0.0
0.09,0.09,0.7861817604250837,0.7861817604250837,0.5,0.0
0.0925,0.0925,0.7897304782034503,0.7897304782034503,0.5,0.0
0.095,0.095,0.793214938227915,0.793214938227915,0.5,0.0
0.0975,0.0975,0.796637404923924,0.796637404923924,0.5,0.0
0.1,0.1,0.8,0.8,0.5,0.0
0.10250000000000001,0.10250000000000001,0.8033047147671792,0.8033047147671792,0.5,0.0
0.105,0.105,0.8065534211193867,0.8065534211193867,0.5,0.0
0.1075,0.1075,0.8097478813486865,0.8097478813486867,0.5,2.220446049250313e-16
0.11,0.11,0.8128897569432403,0.8128897569432403,0.5,0.0
0.1125,0.1125,0.8159806164941135,0.8159806164941135,0.5,0.0
0.115,0.115,0.8190219428189854,0.8190219428189854,0.5,0.0
0.11750000000000001,0.11750000000000001,0.8220151393956501,0.8220151393956502,0.5,1.1102230246251565e-16
0.12,0.12,0.8249615361854384,0.8249615361854384,0.5,0.0
0.1225,0.1225,0.8278623949159158,0.8278623949159161,0.5,2.220446049250313e-16
0.125,0.125,0.8307189138830738,0.830718913883074,0.5,1.1102230246251565e-16
