state_id,rank,L,C,C_envelope,violation
0,1,0.5919401150323682,0.491474328167642,0.4914743281676418,2.220446049250313e-16
1,1,0.34143064625314234,0.4741895823953792,0.474189582395379,2.220446049250313e-16
2,1,0.8528771471498793,0.35422834304917267,0.3542283430491728,-1.1102230246251565e-16
3,1,0.5297474214713092,0.4991143064627665,0.4991143064627664,1.1102230246251565e-16
4,1,0.2920944055439194,0.45472548179518574,0.4547254817951857,5.551115123125783e-17
5,1,0.6528994756347712,0.47604805466529526,0.4760480546652953,-5.551115123125783e-17
6,1,0.5045654294152693,0.49997915641979945,0.49997915641979934,1.1102230246251565e-16
7,1,0.7482196562806971,0.4340357153920547,0.43403571539205454,1.6653345369377348e-16
8,1,0.28030579112819626,0.44914858854079953,0.4491485885407993,2.220446049250313e-16
9,1,0.3279593074575013,0.4694699139556203,0.46946991395562016,1.6653345369377348e-16
10,1,0.5747502851086155,0.49438081968881104,0.49438081968881104,0.0
11,1,0.642497657372791,0.4792644548088943,0.4792644548088943,0.0
12,1,0.4222070962556627,0.49391119052621646,0.49391119052621624,2.220446049250313e-16
13,1,0.6930046441464633,0.46124744697168485,0.4612474469716846,2.220446049250313e-16
14,1,0.5899887107361651,0.4918353707695727,0.49183537076957246,2.220446049250313e-16
15,1,0.5481863520138948,0.4976726589632919,0.4976726589632919,0.0
16,1,0.5825239252823787,0.49314278029389086,0.4931427802938905,3.3306690738754696e-16
17,1,0.39574457990038703,0.48901002789293957,0.48901002789293924,3.3306690738754696e-16
18,1,0.5559235935645988,0.4968627090885587,0.49686270908855856,1.1102230246251565e-16
19,1,0.577932458813202,0.4938891898627956,0.4938891898627956,0.0
20,1,0.4441471115933523,0.49687066210094827,0.4968706621009481,1.6653345369377348e-16
21,1,0.501720845198489,0.4999970386830335,0.49999703868303347,5.551115123125783e-17
22,1,0.518585028528822,0.4996544773286668,0.49965447732866647,3.3306690738754696e-16
23,1,0.20384442917001006,0.40285466097137673,0.4028546609713766,1.1102230246251565e-16
24,1,0.31687815694977284,0.4652594873808466,0.4652594873808464,2.220446049250313e-16
25,1,0.45491025866169277,0.4979627648991885,0.49796276489918856,-5.551115123125783e-17
26,1,0.4853176776263402,0.4997843829189904,0.49978438291899036,5.551115123125783e-17
27,1,0.4803709976511099,0.4996145536979355,0.4996145536979355,0.0
28,1,0.5958987692391269,0.4907172567359141,0.49071725673591376,3.3306690738754696e-16
29,1,0.30417081646302446,0.4600553563162172,0.4600553563162172,0.0
30,1,0.761029433665958,0.42645472767930376,0.42645472767930387,-1.1102230246251565e-16
31,1,0.5339448688308699,0.49884641512198435,0.49884641512198424,1.1102230246251565e-16
32,1,0.5304958568215941,0.4990691362093202,0.49906913620932003,1.6653345369377348e-16
