epsilon,L_numeric,L_leading,relative_error
0.0001,4.199851238065182e-08,4.199851418877292e-08,4.305202535435842e-08
0.0001333521432163324,7.468508731655411e-08,7.468509303412242e-08,7.655568300089884e-08
0.00017782794100389227,1.328109450991969e-07,1.328109631794213e-07,1.361350296374885e-07
0.00023713737056616554,2.3617494407448142e-07,2.3617500124940243e-07,2.420870994165775e-07
0.00031622776601683794,4.1998496108481783e-07,4.199851418877292e-07,4.3049835186220775e-07
0.00042169650342858224,7.468503585927275e-07,7.468509303412242e-07,7.655456711421127e-07
0.0005623413251903491,1.3281078237677483e-06,1.3281096317942132e-06,1.3613533262766925e-06
0.0007498942093324559,2.3617442950162444e-06,2.3617500124940243e-06,2.4208649304876373e-06
0.001,4.199833338643485e-06,4.1998514188772915e-06,4.304969867648605e-06
0.001333521432163324,7.468452128795913e-06,7.4685093034122434e-06,7.65542546809661e-06
0.0017782794100389228,1.3280915516513411e-05,1.328109631794213e-05,1.3613441570600646e-05
0.0023713737056616554,2.3616928383910884e-05,2.3617500124940242e-05,2.4208363558084492e-05
0.0031622776601683794,4.199670620337235e-05,4.199851418877292e-05,4.3048794356072726e-05
0.004216965034285823,7.467937578621987e-05,7.468509303412245e-05,7.655139292606459e-05
0.005623413251903491,0.0001327928842385941,0.0001328109631794213,0.00013612536491282006
0.007498942093324558,0.0002361178339053932,0.0002361750012494024,0.000242055017282862
0.01,0.0004198043813536032,0.0004199851418877292,0.0004303974500468294
0.01333521432163324,0.000746279419249644,0.0007468509303412244,0.0007652277962876534
0.01778279410038923,0.0013263029391773653,0.0013281096317942134,0.0013603490055314658
0.023713737056616554,0.002356040031924974,0.002361750012494024,0.002417690500198297
0.03162277660168379,0.0041818133199847795,0.004199851418877291,0.00429493739026917
0.042169650342858224,0.007411571377835375,0.007468509303412243,0.007623733634616288
0.05623413251903491,0.013101623376792519,0.013281096317942132,0.013513413113882294
0.07498942093324558,0.0230532045707142,0.02361750012494024,0.02389311109308049
0.1,0.040232147748495345,0.04199851418877293,0.04205783167323976
